role,name,team
student,g-lilian,CS2113-T14-1
student,sliu107,CS2113-T14-1
student,Zhilin-Huang,CS2113-T14-1
student,quinnyyy,CS2113-T14-1
student,alaukiknpant,CS2113-T14-2
student,katelo731,CS2113-T14-2
student,yolanmz,CS2113-T14-2
student,melylopez99,CS2113-T14-2
student,Bencotti,CS2113-T14-3
student,rsanchez-macias,CS2113-T14-3
student,JTWang2000,CS2113-T14-3
student,yuchenlichuck,CS2113-T14-3
student,JosephLimWeiJie,CS2113-T14-4
student,nguan1,CS2113-T14-4
student,SibingWu,CS2113-T14-4
student,gmuthu17,CS2113-T14-4
student,nigellenl,CS2113-T15-1
student,siuhian,CS2113-T15-1
student,ananda-lye,CS2113-T15-1
student,btricec,CS2113-T15-1
student,rdimaio,CS2113-T15-1
student,JeremiasLiew,CS2113-T15-2
student,kcubey,CS2113-T15-2
student,Jeremy733,CS2113-T15-2
student,alexlim510,CS2113-T15-2
student,chengTzeNing,CS2113-T15-3
student,bennychanya,CS2113-T15-3
student,DeetoMok,CS2113-T15-3
student,RenzoTsai,CS2113-T15-3
student,lamyuewei,CS2113-T15-4
student,dejunnn,CS2113-T15-4
student,yuxianglim,CS2113-T15-4
student,DDzuikeai,CS2113-T15-4
student,joelczk,CS2113T-M16-1
student,jichngan,CS2113T-M16-1
student,lwxymere,CS2113T-M16-1
student,E0309556,CS2113T-M16-1
student,Keith-JK,CS2113T-M16-1
student,JensonWee,CS2113T-M16-2
student,jinfayap,CS2113T-M16-2
student,cheongisabella,CS2113T-M16-2
student,alwayshuizhen,CS2113T-M16-2
student,yantingsanity,CS2113T-M16-2
student,zi-hui,CS2113T-M16-2
student,MeLoveCarbs,CS2113T-T12-1
student,matthewc97,CS2113T-T12-1
student,lowxizhi,CS2113T-T12-1
student,synCKun,CS2113T-T12-1
student,NyanWunPaing,CS2113T-T12-2
student,sitinadiah25,CS2113T-T12-2
student,Janicetyy,CS2113T-T12-2
student,itskesin,CS2113T-T12-2
student,terrytay,CS2113T-T12-3
student,NizarMohd,CS2113T-T12-3
student,GanapathySanathBalaji,CS2113T-T12-3
student,hongquan448,CS2113T-T12-3
student,lowjiayee,CS2113T-T12-4
student,benchan911,CS2113T-T12-4
student,anqi-nus,CS2113T-T12-4
student,harithadiv,CS2113T-T12-4
student,kokjoon97,CS2113T-T13-1
student,JLoh579,CS2113T-T13-1
student,trishaangelica,CS2113T-T13-1
student,jiajuinphoon,CS2113T-T13-1
student,Shannonwje,CS2113T-T13-1
student,wangqinNick,CS2113T-T13-2
student,A11riseforme,CS2113T-T13-2
student,HAOYUN49,CS2113T-T13-2
student,iceclementi,CS2113T-T13-2
student,brandoncjh,CS2113T-T13-3
student,JustinnT,CS2113T-T13-3
student,thanhduc2000,CS2113T-T13-3
student,Yukilite,CS2113T-T13-3
student,andy-aw-why,CS2113T-T13-3
student,damithc,Instructors
student,JunWei96,Instructors
